,",Timestamp [ms],CPU cores,CPU capacity provisioned [MHZ],CPU usage [MHZ],CPU usage [%],Memory capacity provisioned [KB],Memory usage [KB],Disk read throughput [KB/s],Disk write throughput [KB/s],Network received throughput [KB/s],Network transmitted throughput [KB/s]"
65,"65,1376334347,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,1.5333333333333334,0.0,1.0"
66,"66,1376334647,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,1.6666666666666667,0.0,1.0"
67,"67,1376334947,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
68,"68,1376335247,4,11703.99824,118.99064877333336,1.0166666666666666,67108864.0,0.0,131.33333333333334,15.266666666666667,0.0,1.0"
69,"69,1376335547,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,1.8,0.0,1.0"
70,"70,1376335847,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,32.666666666666664,4.066666666666666,0.0,1.0"
71,"71,1376336147,4,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0,14.933333333333334,0.0,1.0"
72,"72,1376336447,4,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,0.0,0.0,1.2666666666666666,0.0,1.0"
73,"73,1376336747,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
74,"74,1376337047,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
75,"75,1376337347,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
76,"76,1376337647,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,1.3333333333333333,0.0,0.9333333333333332"
77,"77,1376337947,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,268435.2,0.0,1.2666666666666666,0.0,1.0"
78,"78,1376338248,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,89478.4,0.0,1.3333333333333333,0.0,1.0"
79,"79,1376338548,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,2.2,0.0,1.0666666666666669"
80,"80,1376338848,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
81,"81,1376339148,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
82,"82,1376339448,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
83,"83,1376339748,4,11703.99824,81.92798768,0.7,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
84,"84,1376340048,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,1.5333333333333334,0.0666666666666666,1.0666666666666669"
85,"85,1376340348,4,11703.99824,79.97732130666667,0.6833333333333332,67108864.0,0.0,0.0,1.6,0.0,1.0"
86,"86,1376340648,4,11703.99824,79.97732130666667,0.6833333333333332,67108864.0,0.0,0.0,1.2666666666666666,0.0,1.0"
87,"87,1376340948,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
88,"88,1376341248,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,1.3333333333333333,0.0,0.9333333333333332"
89,"89,1376341548,4,11703.99824,78.02665493333335,0.6666666666666667,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
90,"90,1376341848,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
91,"91,1376342148,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
92,"92,1376342448,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0,1.6666666666666667,0.0,1.0"
93,"93,1376342748,4,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
94,"94,1376343048,4,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
95,"95,1376343348,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
96,"96,1376343648,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
97,"97,1376343948,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
98,"98,1376344248,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
99,"99,1376344548,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
100,"100,1376344848,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,2.8666666666666667,0.0,1.0666666666666669"
101,"101,1376345148,4,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0,2.533333333333333,0.0,1.0"
102,"102,1376345448,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,1.4,0.0,1.0"
103,"103,1376345748,4,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,0.0,0.0,1.3333333333333333,0.0666666666666666,1.0"
104,"104,1376346048,4,11703.99824,78.02665493333335,0.6666666666666667,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
105,"105,1376346348,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,2.1333333333333333,0.0,1.0"
106,"106,1376346648,4,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,0.0,0.0,1.6,0.0,1.0"
107,"107,1376346948,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,1.5333333333333334,0.0,1.0"
108,"108,1376347248,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,1.9333333333333331,0.0,1.0666666666666669"
109,"109,1376347548,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
110,"110,1376347848,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
111,"111,1376348148,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
112,"112,1376348448,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
113,"113,1376348749,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
114,"114,1376349049,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,1.6,0.0,1.0"
115,"115,1376349349,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
116,"116,1376349649,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
117,"117,1376349949,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
118,"118,1376350249,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
119,"119,1376350549,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,2.333333333333333,0.0,1.0666666666666669"
120,"120,1376350849,4,11703.99824,79.97732130666667,0.6833333333333332,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
121,"121,1376351149,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
122,"122,1376351449,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
123,"123,1376351749,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
124,"124,1376352049,4,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,134217.6,0.0,1.7333333333333334,0.0,1.0"
125,"125,1376352349,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,178956.8,0.0,1.4,0.0,1.0"
126,"126,1376352649,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
127,"127,1376352949,4,11703.99824,58.51999120000001,0.5,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
128,"128,1376353249,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
129,"129,1376353549,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,1.8,0.0,1.0666666666666669"
130,"130,1376353849,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,1.8666666666666667,0.0,1.0"
131,"131,1376354149,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,1.5333333333333334,0.0,1.0"
132,"132,1376354449,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
133,"133,1376354749,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,1.6666666666666667,0.0,1.0"
134,"134,1376355049,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
135,"135,1376355349,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
136,"136,1376355649,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
137,"137,1376355949,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,1.9333333333333331,0.0,1.0666666666666669"
138,"138,1376356249,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
139,"139,1376356549,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
140,"140,1376356849,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
141,"141,1376357149,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
142,"142,1376357449,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,1.3333333333333333,0.0666666666666666,1.0"
143,"143,1376357749,4,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
144,"144,1376358049,4,11703.99824,134.59597975999998,1.15,67108864.0,715827.2,131.33333333333334,22.133333333333333,0.0,1.4"
145,"145,1376358349,4,11703.99824,76.07598856,0.65,67108864.0,1342176.0,0.0,4.466666666666667,0.0,1.0"
146,"146,1376358649,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,223696.0,32.666666666666664,5.2,0.0,1.0"
147,"147,1376358949,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
148,"148,1376359250,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,1.4666666666666666,0.0,1.0"
149,"149,1376359550,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
150,"150,1376359850,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0,1.9333333333333331,0.0,1.0666666666666669"
151,"151,1376360150,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
152,"152,1376360450,4,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
153,"153,1376360750,4,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
154,"154,1376361050,4,11703.99824,78.02665493333335,0.6666666666666667,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
155,"155,1376361350,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
156,"156,1376361650,4,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
157,"157,1376361950,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
158,"158,1376362250,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
159,"159,1376362550,4,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0,2.066666666666667,0.0666666666666666,1.0666666666666669"
160,"160,1376362849,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,1.4,0.0,1.0"
161,"161,1376363149,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
162,"162,1376363449,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,1.6,0.0,1.0"
163,"163,1376363749,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
164,"164,1376364049,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
165,"165,1376364349,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
166,"166,1376364650,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,134217.6,0.0,1.3333333333333333,0.0,1.0"
167,"167,1376364950,4,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,223696.0,0.0,1.3333333333333333,0.0,1.0"
168,"168,1376365250,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
169,"169,1376365550,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,1.8,0.0,1.0666666666666669"
170,"170,1376365850,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,402652.8,0.0,1.3333333333333333,0.0,1.0"
171,"171,1376366150,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,268435.2,0.0,1.3333333333333333,0.0,1.0"
172,"172,1376366450,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,1.6666666666666667,0.0,1.0"
173,"173,1376366750,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,2.0,0.0,1.0"
174,"174,1376367050,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
175,"175,1376367350,4,11703.99824,78.02665493333335,0.6666666666666667,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
176,"176,1376367650,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
177,"177,1376367950,4,11703.99824,58.51999120000001,0.5,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
178,"178,1376368250,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,178956.8,0.0,1.3333333333333333,0.0,1.0"
179,"179,1376368550,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,89478.4,0.0,1.3333333333333333,0.0,1.0"
180,"180,1376368850,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
181,"181,1376369150,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
182,"182,1376369450,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,2.066666666666667,0.0,1.0666666666666669"
183,"183,1376369750,4,11703.99824,58.51999120000001,0.5,67108864.0,0.0,0.0,1.4,0.0,1.0"
184,"184,1376370050,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
185,"185,1376370350,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
186,"186,1376370650,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,1.6666666666666667,0.0,1.0"
187,"187,1376370950,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0,1.4666666666666666,0.0,1.0"
188,"188,1376371250,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,8.533333333333333,4.2,0.0,1.0666666666666669"
189,"189,1376371550,4,11703.99824,58.51999120000001,0.5,67108864.0,0.0,0.0,2.0,0.0,1.0"
190,"190,1376371850,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
191,"191,1376372150,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
192,"192,1376372450,4,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
193,"193,1376372750,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,1.4,0.0,1.0"
194,"194,1376373050,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
195,"195,1376373350,4,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
196,"196,1376373651,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,1.3333333333333333,0.0,0.9333333333333332"
197,"197,1376373951,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,1.8666666666666667,0.0,1.0"
198,"198,1376374251,4,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
199,"199,1376374551,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
200,"200,1376374851,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,1.6666666666666667,0.0,1.0"
201,"201,1376375151,4,11703.99824,64.37199032000001,0.55,67108864.0,268435.2,0.0,1.8666666666666667,0.0,1.0"
202,"202,1376375451,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
203,"203,1376375751,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,2.1333333333333333,0.0,1.0666666666666669"
204,"204,1376376051,4,11703.99824,81.92798768,0.7,67108864.0,268435.2,0.0,1.4666666666666666,0.0,1.0"
205,"205,1376376351,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
206,"206,1376376651,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
207,"207,1376376951,4,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,0.0,0.0,1.3333333333333333,0.0,1.0"
